 Zeile  was                           harte Kanten  weiche Uebergaenge
   680  blanker Grund                           10                   0
   700  blanker Grund                           10                   0
   720  HINTER der Leiste                        0                 140
   735  HINTER der Leiste                        0                 140
   750  HINTER der Leiste                        0                 140
   500  HINTER dem Menue                         0                  74
   600  HINTER dem Menue                         0                  61
   500  blanker Grund daneben                    5                   0
   600  blanker Grund daneben                    5                   0
